date,feature_index,NO2
2025-09-04T00:00:00.000Z,0,4.2328132622060366E-5
2025-09-02T00:00:00.000Z,0,3.795673789378876E-5
2025-08-30T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,3.34828621816996E-5
2025-09-01T00:00:00.000Z,0,3.9503172138211086E-5
2026-07-28T00:00:00.000Z,0,3.606609379858128E-5
2026-07-24T00:00:00.000Z,0,3.713230006197639E-5
2026-07-25T00:00:00.000Z,0,5.869379401701735E-5
2026-07-26T00:00:00.000Z,0,3.8957871819387516E-5
2026-07-22T00:00:00.000Z,0,3.72111588957422E-5
2026-07-29T00:00:00.000Z,0,4.091125447303057E-5
2026-07-23T00:00:00.000Z,0,2.9344866965806836E-5
2026-07-27T00:00:00.000Z,0,3.7874845293117684E-5
2026-03-08T00:00:00.000Z,0,
2026-03-09T00:00:00.000Z,0,2.308380533997059E-5
2026-03-12T00:00:00.000Z,0,2.341540505312878E-5
2026-03-10T00:00:00.000Z,0,
2026-03-13T00:00:00.000Z,0,1.7235420810638143E-5
