date,feature_index,SO2
2025-09-21T00:00:00.000Z,0,2.9904148891546357E-5
2025-09-22T00:00:00.000Z,0,-8.431971333553329E-6
2025-09-28T00:00:00.000Z,0,-2.005570054279815E-5
2025-09-26T00:00:00.000Z,0,6.246351921091493E-5
2025-12-19T00:00:00.000Z,0,
2025-12-23T00:00:00.000Z,0,1.0786719576572068E-4
2025-12-18T00:00:00.000Z,0,3.685185802169144E-4
2025-12-25T00:00:00.000Z,0,1.2254567608531368E-4
2025-12-21T00:00:00.000Z,0,-8.036170765990391E-5
2025-12-24T00:00:00.000Z,0,1.9901350727498843E-4
2025-12-20T00:00:00.000Z,0,
2025-12-22T00:00:00.000Z,0,2.46223945749888E-5
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,
2026-01-19T00:00:00.000Z,0,
2026-01-21T00:00:00.000Z,0,-1.2878836423624307E-4
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,7.015164737822488E-5
2026-01-20T00:00:00.000Z,0,
2026-01-24T00:00:00.000Z,0,-1.6145798380260685E-5
2026-02-14T00:00:00.000Z,0,-1.6079820488812402E-4
2026-02-13T00:00:00.000Z,0,
2026-02-16T00:00:00.000Z,0,4.948217429046053E-6
2026-02-19T00:00:00.000Z,0,
2026-02-18T00:00:00.000Z,0,
2026-02-15T00:00:00.000Z,0,3.9182417388226234E-5
2026-02-12T00:00:00.000Z,0,
2026-02-17T00:00:00.000Z,0,
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,-2.527410179027356E-4
2025-10-02T00:00:00.000Z,0,1.78246484574629E-4
2025-10-06T00:00:00.000Z,0,-3.1314927036873995E-5
2025-10-04T00:00:00.000Z,0,1.2428284289853764E-4
2025-10-03T00:00:00.000Z,0,1.9820307822252897E-5
2025-10-05T00:00:00.000Z,0,-3.3765196940294116E-5
2025-09-29T00:00:00.000Z,0,6.649066199315712E-5
2026-05-08T00:00:00.000Z,0,1.286056187836948E-4
2026-05-06T00:00:00.000Z,0,2.497377793891549E-4
2026-05-10T00:00:00.000Z,0,-3.8177021724550284E-5
2026-05-03T00:00:00.000Z,0,
2026-05-07T00:00:00.000Z,0,2.8685929464700166E-5
2026-05-09T00:00:00.000Z,0,-6.7703178501687946E-6
2026-05-04T00:00:00.000Z,0,-2.191896896874823E-5
2026-05-05T00:00:00.000Z,0,
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,-1.6260406118817627E-4
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,
2025-11-23T00:00:00.000Z,0,
2025-11-18T00:00:00.000Z,0,-2.415149356238544E-5
2025-11-21T00:00:00.000Z,0,-3.5596012700504315E-4
2025-11-16T00:00:00.000Z,0,
2026-01-17T00:00:00.000Z,0,
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,
2026-01-14T00:00:00.000Z,0,
2026-01-13T00:00:00.000Z,0,-1.1525049922056496E-4
2026-01-16T00:00:00.000Z,0,
2026-01-18T00:00:00.000Z,0,
2026-01-12T00:00:00.000Z,0,
2026-07-31T00:00:00.000Z,0,9.450096459819606E-6
2026-08-01T00:00:00.000Z,0,9.317621570517076E-5
2026-08-06T00:00:00.000Z,0,2.2030309755791678E-4
2026-07-30T00:00:00.000Z,0,3.800477861659601E-5
2026-08-04T00:00:00.000Z,0,
2026-08-05T00:00:00.000Z,0,1.8398119310505636E-4
2026-08-02T00:00:00.000Z,0,1.0550677598075708E-5
2026-08-03T00:00:00.000Z,0,8.389826931913073E-5
2026-03-19T00:00:00.000Z,0,3.7313923039619115E-4
2026-03-16T00:00:00.000Z,0,5.1866153080482035E-5
2026-03-21T00:00:00.000Z,0,
2026-03-22T00:00:00.000Z,0,-3.831831509160111E-5
2026-03-23T00:00:00.000Z,0,5.35363841873522E-6
2026-03-20T00:00:00.000Z,0,
2026-03-17T00:00:00.000Z,0,8.705748811788748E-5
2026-03-18T00:00:00.000Z,0,-2.123762835708476E-5
2026-04-16T00:00:00.000Z,0,2.73691060025764E-4
2026-04-13T00:00:00.000Z,0,-1.0001758879904324E-4
2026-04-15T00:00:00.000Z,0,2.772493260636111E-4
2026-04-12T00:00:00.000Z,0,3.42440684335088E-5
2026-04-10T00:00:00.000Z,0,2.7054815727751703E-4
2026-04-11T00:00:00.000Z,0,3.1812518145670767E-4
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,-1.3941416909801774E-8
2026-06-13T00:00:00.000Z,0,2.425913862805708E-5
2026-06-16T00:00:00.000Z,0,1.017145352307125E-4
2026-06-15T00:00:00.000Z,0,3.8144772097439274E-4
2026-06-19T00:00:00.000Z,0,3.6966728580409833E-4
2026-06-18T00:00:00.000Z,0,-3.347969339984047E-5
2026-06-14T00:00:00.000Z,0,-2.4077176085768315E-5
2026-06-17T00:00:00.000Z,0,9.308436074206838E-6
2026-06-12T00:00:00.000Z,0,9.741589201439638E-5
2026-06-22T00:00:00.000Z,0,2.9430667122401894E-5
2026-06-26T00:00:00.000Z,0,1.1476486433821264E-4
2026-06-20T00:00:00.000Z,0,2.8972522741241844E-4
2026-06-21T00:00:00.000Z,0,4.416363844939042E-5
2026-06-27T00:00:00.000Z,0,2.947499797301134E-5
2026-06-23T00:00:00.000Z,0,-1.9080095864865142E-5
2026-06-24T00:00:00.000Z,0,1.2499732520154794E-5
2026-06-25T00:00:00.000Z,0,8.957386489782948E-6
